,E_Equipment Serial Number,E_OEM Nameplate SN
12068,299548,299548
12069,299549,299549
12070,900107,GT247
12071,890037,890037
12072,890076,890076
12073,296883,296883
12074,296882,296882
12075,297008,297008
12076,850037,850037
12077,282594,282594
12078,875033,875033
12079,298523,298523
12080,298522,298522
12081,898794,898794
12082,898792,898792
12083,900582,900582
12084,900581,900581
12085,819316,FM77196
12086,296826,296826
12087,296827,296827
12088,296824,296824
12089,811674,200201
12090,875099,875099
12091,875098,875098
12092,900000,I523-201502
12093,890208,890208
12094,890201,890201
12095,900579,900579
12096,900578,900578
12097,298776,298776
12098,G02705,G02705
12099,G00322,G00322
12100,G26102,G26102
12101,822971,7262202
12102,822970,7262522
12103,822961,881121
12104,822957,7270563
12105,822951,7267025
12106,822953,7267577
12107,822959,7267574
12108,822956,822956
12109,822954,7267575
12110,822962,881122
12111,822947,7267021
12112,822952,7267576
12113,822955,822955
12114,822948,7267022
12115,822958,7267916
12116,822949,7267023
12117,822967,7268253
12118,822968,7262875
12119,299551,299551
12120,147809,147809
12121,801742,17A4244-1
12122,801740,17A4242-1
12123,900106,900106
12124,900105,900105UK
12125,299541,299541
12126,900104,GT238
12127,299523,299523
12128,G09262,G09262
12129,G09255,G09255
12130,G09261,G09261
12131,G09257,G09257
12132,G09260,G09260
12133,G09258,G09258
12134,G09256,G09256
12135,G09259,G09259
12136,299522,299522
12137,850275,850275
12138,850277,850277
12139,900094,900094
12140,900095,900095
12141,875155,875155
12142,980024,B003404
12143,299552,299552
12144,299553,299553
12145,980023,B000562
12146,980020,B005730
12147,822924,7263291
12148,850203,850203
12149,822896,7265420
12150,822898,
12151,822894,7265419
12152,822922,7268301
12153,898798,898798
12154,898796,898796
12155,822913,
12156,822911,7266527
12157,822912,192557
12158,900100,GT208
12159,900101,GT216
12160,890109,890109
12161,822904,7267964
12162,822906,7267962
12163,822908,7267961
12164,898804,898804
12165,898805,898805
12166,900098,I519-201601
12167,890369,890369
12168,890368,890368
12169,822901,7266526
12170,900099,I519-201602
12171,822900,7266025
12172,890367,890367
12173,299238,299238
12174,214456,214456
12175,226265,226265
12176,282079,282079
12177,282097,282097
12178,225993,225993
12179,809385,809385
12180,244472,244472
12181,282090,282090
12182,225994,225994
12183,822887,192558
12184,822885,191787
12185,822888,676209
12186,822884,822884
12187,822892,7262195
12188,822882,822882
12189,822889,822889
12190,822890,7262203
12191,900565,900565
12192,900570,900570
12193,900571,900571
12194,900080,GT226
12195,900088,GT222
12196,822880,822880
12197,900086,GT213
12198,900087,GT220
12199,822881,822881
12200,900085,GT227
12201,282524,282524
12202,801744,801744UK
12203,248935,248935
12204,296047,296047
12205,875064,875064
12206,297414,297414
12207,282588,282588
12208,282547,282547
12209,282587,282587
12210,282546,282546
12211,298833,298833
12212,875972,875972
12213,822878,7258762
12214,822876,7258221
12215,822865,822865
12216,875974,875974
12217,822870,822870
12218,822867,481690
12219,875970,875970
12220,822869,822869
12221,822872,7254743
12222,875971,875971
12223,822868,822868
12224,875973,875973
12225,822874,7254744
12226,809016,809016
12227,298979,298979
12228,298977,298977
12229,900226,900226
12230,298980,298980
12231,298981,298981
12232,298978,298978
12233,282108,282108
12234,EGG0178,140190
12235,298976,298976
12236,900228,T935
12237,282648,282648
12238,282107,282107
12239,T937,T937
12240,282538,282538
12241,875141,875141
12242,875108,875108
12243,875145,875145
12244,179192,179192
12245,295572,295572
12246,298614,298614
12247,298613,298613
12248,900079,GT244
12249,900078,GT243
12250,900074,GT242
12251,822862,192555
12252,76393,76393
12253,127782,127782
12254,822860,822860
12255,822855,822855
12256,822854,822854
12257,850276,850276
12258,299525,299525
12259,299524,299524
12260,875153,875153
12261,822850,822850
12262,822848,822848
12263,822846,7262199
12264,875117,875117
12265,822842,192245
12266,822844,822844
12267,822833,7255456
12268,822837,7260369
12269,822835,7260370
12270,822831,7260711
12271,G02684,G02684
12272,822822,481992
12273,G02681,G02681
12274,822820,7266024
12275,299494,299494
12276,822823,7265933
12277,822826,7266023
12278,822829,7261988
12279,822827,7262196
12280,299497,299497
12281,299498,299498
12282,299495,299495
12283,299499,299499
12284,299496,299496
12285,819114,819114UK
12286,819112,819112UK
12287,282381,282381
12288,282380,282380
12289,282384,282384
12290,282383,282383
12291,282382,282382
12292,HIT440,GT440
12293,HIT439,GT439
12294,HIT438,GT438
12295,295391,GT353
12296,295390,GT352
12297,295314,GT351
12298,295313,GT350
12299,295312,GT349
12300,860018,860018
12301,299517,299517
12302,299518,299518
12303,822813,678184
12304,822818,7257570
12305,822812,7265424
12306,821595,7244859
12307,822803,191798
12308,117788,117788
12309,819584,T128
12310,EGG0025,T255
12311,245120,571610
12312,214393,214393
12313,822800,7265421
12314,281858,281858
12315,299230,299230
12316,299229,299229
12317,goldfinch9,goldfinch9
12318,822795,191797
12319,goldfinch10,goldfinch10
12320,822796,822796
12321,147855,147855
12322,822791,191348
12323,822790,822790
12324,822792,7265418
12325,299516,299516
12326,822789,191464
12327,822788,7263273
12328,822786,7263875
12329,821256,821256
12330,808429,260203-2
12331,899013,899013
12332,875138,875138
12333,875139,875139
12334,875146,875146
12335,875147,875147
12336,980014,G00287
12337,980013,G00277
12338,899014,899014
12339,296930,260277
12340,296929,260322
12341,296931,260273
12342,296928,260272
12343,822781,7265422
12344,822779,822779
12345,822773,7263874
12346,299263,299263
12347,282508,282508
12348,822776,7264657
12349,822774,7262879
12350,298916,298916
12351,821121,7235381
12352,812416,82061
12353,821124,7234314
12354,821326,7238753
12355,821120,7235380
12356,820446,820446
12357,299243,299243
12358,820424,7220394
12359,875081,875081
12360,809252,260377
12361,299244,299244
12362,295736,295736
12363,812417,82062
12364,820423,7220393
12365,821159,7232275
12366,299200,299200
12367,821250,821250
12368,821192,7232278
12369,821164,7220390
12370,248859,248859
12371,245256,GT261
12372,248856,248856
12373,812369,812369
12374,840340,820436
12375,808685,260342-1
12376,821324,7238752
12377,812367,812367
12378,244423,244423
12379,299240,299240
12380,810516,307697
12381,EGG0151,T264
12382,875091,875091
12383,299242,299242
12384,298580,298580
12385,891004,891004
12386,802837,802837UK
12387,875093,875093
12388,890331,890331
12389,299241,299241
12390,298581,298581
12391,297158,297158
12392,299247,299247
12393,297771,297771
12394,891006,891006
12395,891002,891002
12396,299488,299488
12397,875148,875148
12398,822764,7262200
12399,822769,7263295
12400,299487,299487
12401,822772,557224
12402,875150,875150
12403,822770,7263293
12404,875149,875149
12405,900201,T668
12406,810865,260087-1
12407,809946,809946
12408,810029,309741
12409,850153,850153
12410,810043,310169
12411,810036,310108
12412,810055,310127
12413,802098,17A1886-1
12414,802728,802728UK
12415,298168,298168
12416,296414,296414
12417,807540,807540UK
12418,808055,808055UK
12419,810504,G06485
12420,808063,808063UK
12421,810047,310192
12422,297281,297281
12423,820615,7225260
12424,800327,800327UK
12425,806406,806406UK
12426,820616,7225261
12427,808056,808056UK
12428,809392,260376
12429,802749,802749UK
12430,810038,310111
12431,803884,803884UK
12432,820906,474139
12433,804613,804613UK
12434,820269,7219480
12435,804765,804765UK
12436,811622,811622UK
12437,900199,T664
12438,298757,298757
12439,891003,891003
12440,891001,891001
12441,810054,310114
12442,810171,309900
12443,822056,7253049
12444,10138,T158
12445,EGG0282,T773
12446,809394,260431-1
12447,820313,7219484
12448,808679,260109-1
12449,810813,308837
12450,821340,7220392
12451,891005,891005
12452,820295,7220372
12453,296140,260222-2
12454,812064,51635
12455,807224,807224UK
12456,810034,309743
12457,808420,7-2-522-01
12458,806461,806461UK
12459,812688,199532
12460,179452,179452
12461,808226,808226UK
12462,802754,802754UK
12463,821830,7246328
12464,806407,806407UK
12465,802257,802257UK
12466,802032,802032
12467,821088,7235295
12468,803970,803970UK
12469,802727,802727UK
12470,806840,806840UK
12471,803879,803879UK
12472,810196,260533
12473,808759,260445
12474,806408,806408UK
12475,298087,298087
12476,226389,226389
12477,147772,147772
12478,T6208,T6208
12479,T086,GT086
12480,295362,295362
12481,802310,802310UK
12482,900138,T247
12483,850111,850111
12484,298778,298778
12485,95076,95076
12486,296604,296604
12487,900064,GT180
12488,802291,802291UK
12489,295361,295361
12490,214259,214259
12491,900176,T622
12492,298368,298368
12493,296606,296606
12494,245229,245229
12495,T063,GT063
12496,802208,802208UK
12497,800260,800260UK
12498,179250,GT8
12499,296999,296999
12500,179391,179391
12501,225910,225910
12502,296793,296793
12503,802627,802627UK
12504,BLG0005,GT099
12505,295247,295247
12506,214083,214083
12507,812865,751080
12508,802594,802594UK
12509,806864,806864UK
12510,298617,298617
12511,245232,245232
12512,812874,481729
12513,295424,295424
12514,890288,890288
12515,245126,245126
12516,282314,282314
12517,THM0023,XTHM0023
12518,801432,801432UK
12519,179388,179388
12520,804454,804454UK
12521,800738,800738UK
12522,295168,295168
12523,226142,GT111
12524,299264,299264
12525,298414,298414
12526,875109,875109
12527,179386,179386
12528,EGG0164,T262
12529,295766,295766
12530,296791,296791
12531,802329,802329UK
12532,295383,295383
12533,214482,214482
12534,298859,298859
12535,802070,802070UK
12536,800480,800480UK
12537,820886,7227795
12538,298205,298205
12539,214175,GT31
12540,812833,812833
12541,802209,802209UK
12542,822417,7254817
12543,805049,805049UK
12544,298195,298195
12545,296952,296952
12546,245172,245172
12547,802080,17A1587-1
12548,800573,800573UK
12549,890188,890188
12550,890129,T9E323
12551,800740,800740UK
12552,800907,800907UK
12553,800694,800694UK
12554,800739,800739UK
12555,820178,820178
12556,214403,214403
12557,298857,298857
12558,127742,127742
12559,800696,800696UK
12560,T645,T645
12561,214263,214263
12562,296607,296607
12563,809957,809957
12564,214322,214322
12565,800699,800699UK
12566,299448,299448
12567,282111,282111
12568,802394,802394UK
12569,803226,803226UK
12570,298193,298193
12571,803315,803315UK
12572,806603,806603UK
12573,812654,481519
12574,244432,244432
12575,805865,805865UK
12576,803224,803224UK
12577,806411,806411UK
12578,821309,7231385
12579,805697,805697UK
12580,10140,T171
12581,803209,803209UK
12582,820054,820054
12583,805873,805873UK
12584,801353,801353UK
12585,804225,804225UK
12586,810749,GT132
12587,804285,804285UK
12588,801314,801314UK
12589,890210,890210
12590,890187,890187
12591,179193,179193
12592,282127,282127
12593,812145,G06605
12594,803726,803726UK
12595,802829,802829UK
12596,803440,803440UK
12597,804603,804603UK
12598,803592,803592UK
12599,179387,179387
12600,810724,810724
12601,EGG0246,140710
12602,800697,800697UK
12603,875118,875118
12604,179181,179181
12605,244500,GT120
12606,179111,179111
12607,214395,214395
12608,803707,803707UK
12609,298198,298198
12610,802086,802086UK
12611,810725,810725
12612,809243,809243
12613,804854,37A7714-1
12614,802154,802154UK
12615,805500,805500UK
12616,807028,807028UK
12617,809242,809242
12618,572340,572340
12619,803193,803193UK
12620,127680,127680
12621,802387,802387UK
12622,T110,GT110
12623,802828,802828UK
12624,127777,127777
12625,214113,214113
12626,807117,807117UK
12627,127740,127740
12628,95090,95090
12629,802816,802816UK
12630,226096,226096
12631,822421,7254816
12632,804856,804856UK
12633,805870,805870UK
12634,800693,800693UK
12635,214261,214261
12636,802121,802121UK
12637,217743,217743
12638,900139,T252
12639,803453,803453UK
12640,811494,811494UK
12641,800507,800507UK
12642,800329,800329UK
12643,821771,821771
12644,802735,802735UK
12645,801710,801710UK
12646,804484,804484
12647,890205,890205
12648,802397,802397UK
12649,807052,807052UK
12650,T083,GT083
12651,298621,298621
12652,147810,147810
12653,820060,7217700
12654,281789,281789
12655,810431,309885
12656,299285,299285
12657,810663,810663
12658,820059,7217699
12659,179218,179218
12660,804107,804107UK
12661,179425,179425
12662,245189,245189
12663,801452,801452UK
12664,806593,806593UK
12665,890130,T9E324
12666,819574,GT161
12667,803876,803876UK
12668,T080,GT080
12669,802827,802827UK
12670,147752,147752
12671,802152,802152UK
12672,802048,802048UK
12673,147769,147769
12674,295649,295649
12675,214415,T56
12676,297874,297874
12677,179189,179189
12678,900229,T934
12679,808772,808772
12680,802035,802035UK
12681,802085,17A1888-1
12682,811475,T159
12683,298777,298777
12684,807277,807277UK
12685,179531,179531
12686,850063,850063
12687,297734,297734
12688,807529,807529UK
12689,890124,T9E322
12690,282483,282483
12691,812534,153505
12692,214007,214007
12693,803351,803351UK
12694,147797,147797
12695,810445,312409
12696,808004,808004UK
12697,298697,298697
12698,803401,803401UK
12699,214088,214088
12700,295317,295317
12701,808046,808046UK
12702,296469,296469
12703,EGG0185,T786
12704,802159,802159UK
12705,244501,GT144
12706,296910,296910
12707,226243,226243
12708,127771,127771
12709,803392,803392UK
12710,214102,214102
12711,295521,295521
12712,179384,179384
12713,802566,802566UK
12714,298655,298655
12715,802141,802141UK
12716,298608,298608
12717,801451,801451UK
12718,298619,298619
12719,297290,297290
12720,295254,295254
12721,808018,808018UK
12722,245112,245112
12723,890123,T9E321
12724,812325,474125
12725,805968,805968UK
12726,179523,179523
12727,808595,808595
12728,179404,179404
12729,127724,127724
12730,127678,127678
12731,295639,295639
12732,802144,802144UK
12733,179375,179375
12734,10853,10853
12735,890316,890316
12736,9191,T191
12737,214250,214250
12738,820372,7221457
12739,179272,179272
12740,890317,890317
12741,810379,810379
12742,802976,802976UK
12743,802122,802122UK
12744,850138,850138
12745,820208,7218922
12746,298606,298606
12747,299236,299236
12748,800330,800330UK
12749,214413,T54
12750,244431,244431
12751,802406,802406UK
12752,806073,806073UK
12753,822419,7254815
12754,890277,890277
12755,179580,GT20
12756,875029,875029
12757,890268,890268
12758,804741,804741UK
12759,800909,800909UK
12760,810443,309722
12761,140330,140330
12762,179522,179522
12763,802457,802457UK
12764,890912,890912
12765,244462,244462
12766,298831,298831
12767,809241,809241
12768,850066,850066
12769,802405,802405UK
12770,890215,890215
12771,299002,299002
12772,801059,66S6913-1
12773,802088,802088UK
12774,214295,214295
12775,214018,214018
12776,295255,295255
12777,810669,311947
12778,214321,214321
12779,298704,298704
12780,802292,802292UK
12781,890195,890195
12782,800908,800908UK
12783,803223,803223UK
12784,808440,260367-1
12785,298602,298602
12786,807618,807618UK
12787,802723,802723UK
12788,807691,807691UK
12789,850136,850136
12790,802346,802346UK
12791,802162,802162UK
12792,812110,53417
12793,297210,297210
12794,214301,G06890
12795,282561,282561
12796,298197,298197
12797,802296,802296UK
12798,803232,803232UK
12799,179247,179247
12800,821255,821255
12801,214206,214206
12802,244490,244490
12803,245176,245176
12804,127794,127794
12805,802388,802388UK
12806,214258,214258
12807,214435,214435
12808,147719,147719
12809,809149,809149
12810,298603,298603
12811,802389,802389UK
12812,803445,803445UK
12813,803190,803190UK
12814,890182,890182
12815,10139,T170
12816,804011,804011UK
12817,179385,179385
12818,820765,820765
12819,804315,804315UK
12820,127765,127765
12821,808428,260203-1
12822,179541,179541
12823,214110,214110
12824,812832,812832
12825,809244,809244
12826,298600,298600
12827,850074,850074
12828,802331,802331UK
12829,802448,802448UK
12830,179520,179520
12831,875025,875025
12832,298702,298702
12833,812484,195562
12834,179188,179188
12835,296605,296605
12836,296908,296908
12837,179521,179521
12838,804583,804583UK
12839,820340,7232270
12840,THM0016,THM0016
12841,179436,179436
12842,76396,76396
12843,898781,898781
12844,T167,T167
12845,802053,802053UK
12846,803330,803330UK
12847,802563,802563UK
12848,179200,179200
12849,282522,282522
12850,801315,801315UK
12851,298494,298494
12852,226347,226347
12853,214277,214277
12854,811464,811464UK
12855,812109,812109
12856,803793,803793
12857,298196,298196
12858,821754,7244588
12859,127793,127793
12860,282138,282138
12861,810314,G06192
12862,214172,GT32
12863,179186,179186
12864,179438,T16
12865,890008,890008
12866,214350,214350
12867,805847,805847UK
12868,806764,806764UK
12869,804661,804661UK
12870,803188,803188UK
12871,820856,820856
12872,800112,800112UK
12873,850006,850006
12874,296794,296794
12875,890913,890913
12876,802127,802127UK
12877,807166,807166UK
12878,812456,812456
12879,179271,179271
12880,807520,807520UK
12881,179308,179308
12882,802345,802345UK
12883,820946,820946
12884,295643,GT387
12885,804962,804962
12886,296385,296385
12887,808162,808162UK
12888,9823,T166
12889,179496,T020
12890,812196,812196
12891,298627,298627
12892,127758,127758
12893,T085,GT085
12894,802067,802067UK
12895,BLG0006,GT100
12896,298607,298607
12897,820959,191517
12898,802358,802358UK
12899,821047,821047
12900,226348,226348
12901,801057,66S6911-1
12902,296539,296539
12903,EGG0097,140350
12904,890186,890186
12905,214045,214045
12906,298601,298601
12907,800667,800667UK
12908,282321,282321
12909,179253,179253
12910,214079,214079
12911,214016,214016
12912,299373,299373
12913,850142,850142
12914,802359,802359UK
12915,179255,179255
12916,296753,296753
12917,807474,807474UK
12918,214200,214200
12919,809247,809247
12920,804665,804665UK
12921,295697,295697
12922,244857,244857
12923,214320,214320
12924,179249,GT5
12925,214352,GT57
12926,244545,T115
12927,296913,296913
12928,803497,803497UK
12929,802089,802089UK
12930,875057,875057
12931,804607,804607UK
12932,140340,140340
12933,800110,800110UK
12934,803705,803705UK
12935,807377,807377UK
12936,803874,803874UK
12937,127679,127679
12938,803710,803710UK
12939,282484,282484
12940,850141,850141
12941,226089,226089
12942,147806,147806
12943,807519,807519UK
12944,807062,807062UK
12945,298609,298609
12946,237987,237987
12947,282567,282567
12948,804392,804392UK
12949,217745,217745
12950,200801,200801
12951,214190,214190
12952,282326,282326
12953,214260,214260
12954,282348,282348
12955,820876,557054
12956,821647,821647
12957,811661,811661UK
12958,802371,802371UK
12959,808436,260203-3
12960,803883,803883UK
12961,804662,804662UK
12962,179548,179548
12963,298699,298699
12964,803446,803446UK
12965,214361,214361
12966,179495,179495
12967,820908,192208
12968,890209,890209
12969,808523,260008-1
12970,801062,801062UK
12971,298605,298605
12972,803189,803189UK
12973,804177,804177UK
12974,298624,298624
12975,805866,805866UK
12976,806602,806602UK
12977,804664,804664UK
12978,281894,281894
12979,245323,245323
12980,807908,807908UK
12981,822018,7247652
12982,809335,809335
12983,802113,802113UK
12984,802567,802567UK
12985,281926,281926
12986,804758,804758UK
12987,244356,244356
12988,806199,806199UK
12989,812027,52053
12990,298604,298604
12991,803823,803823UK
12992,802747,802747UK
12993,803789,803789
12994,802721,802721UK
12995,298701,298701
12996,850143,850143
12997,803562,803562UK
12998,803947,803947UK
12999,295717,295717
13000,298199,298199
13001,179187,179187
13002,296509,296509
13003,179286,179286
13004,801328,801328UK
13005,807160,807160UK
13006,803945,803945UK
13007,298194,298194
13008,214262,214262
13009,810888,T6FA014
13010,244906,244906
13011,214196,T31
13012,299119,299119
13013,802565,802565UK
13014,179517,179517
13015,807375,807375UK
13016,803801,803801
13017,801482,801482UK
13018,281866,281866
13019,806680,806680UK
13020,805698,805698UK
13021,802123,802123UK
13022,296572,296572
13023,803216,803216UK
13024,179297,570130
13025,179114,179114
13026,808229,808229UK
13027,245345,245345
13028,802066,802066UK
13029,803944,803944UK
13030,809246,809246
13031,802734,802734UK
13032,806592,806592UK
13033,801046,801046UK
13034,298806,298806
13035,875024,875024
13036,802370,802370UK
13037,802409,802409UK
13038,800509,800509UK
13039,807588,807588UK
13040,244840,244840
13041,900190,T652
13042,214398,214398
13043,803633,803633UK
13044,T6209,T6209
13045,226204,GT124
13046,802295,802295UK
13047,800506,800506UK
13048,179516,179516
13049,295291,295291
13050,821696,192313
13051,226173,226173
13052,821762,878125
13053,820150,481408
13054,298703,298703
13055,820276,820276
13056,245346,245346
13057,804014,804014UK
13058,807970,807970UK
13059,802966,802966UK
13060,808778,260304-1
13061,179583,179583
13062,804835,804835UK
13063,802314,802314UK
13064,807116,807116UK
13065,296513,296513
13066,807165,807165UK
13067,805516,805516UK
13068,812869,191117
13069,802108,802108UK
13070,803167,803167UK
13071,127791,127791
13072,298705,298705
13073,804393,804393UK
13074,802601,802601UK
13075,244546,T116
13076,802464,802464UK
13077,179453,179453
13078,147848,147848
13079,214017,214017
13080,806836,806836UK
13081,808180,808180UK
13082,179567,179567
13083,808690,808690
13084,281706,281706
13085,244780,244780
13086,800575,800575UK
13087,806462,806462UK
13088,JBG0001,JBG0001
13089,244544,T114
13090,820877,481393
13091,T169,T169
13092,807109,807109
13093,807206,807206UK
13094,803350,803350UK
13095,822192,7250396
13096,298707,298707
13097,299449,299449
13098,296728,296728
13099,295885,295885
13100,802349,802349UK
13101,805848,805848UK
13102,900257,GT012
13103,803475,803475UK
13104,808829,260255-1 old
13105,299096,299096
13106,296689,296689
13107,281790,281790
13108,812058,557052
13109,296881,296881
13110,807692,807692UK
13111,179239,179239
13112,802354,802354UK
13113,299253,299253
13114,800904,800904UK
13115,298618,298618
13116,9200,T200
13117,890133,890133
13118,890142,890142
13119,802733,17A1421-3
13120,807483,807483UK
13121,890179,890179
13122,296136,260218
13123,803099,803099UK
13124,806835,806835UK
13125,808165,808165UK
13126,807473,807473UK
13127,801815,801815UK
13128,812184,185137
13129,803636,803636UK
13130,807207,807207UK
13131,930067,930067
13132,214055,214055
13133,179403,179403
13134,803946,803946UK
13135,417326,417326
13136,281916,281916
13137,T213,222213
13138,95073,95073
13139,800692,800692UK
13140,298696,298696
13141,297014,297014
13142,296571,296571
13143,801430,801430UK
13144,T046,GT046
13145,804391,804391UK
13146,295917,295917
13147,819723,962221
13148,806713,806713UK
13149,281682,281682
13150,820279,820279
13151,809061,809061
13152,281685,281685
13153,214020,214020
13154,299371,299371
13155,803880,803880UK
13156,807972,807972UK
13157,179389,179389
13158,802158,802158UK
13159,804162,804162UK
13160,T246,T246
13161,802211,802211UK
13162,807371,807371UK
13163,812475,812475
13164,281928,281928
13165,296754,296754
13166,10622,T183
13167,214408,214408
13168,890177,890177
13169,807138,807138UK
13170,802046,802046UK
13171,812088,185219
13172,801431,801431UK
13173,T144,T144
13174,147808,147808
13175,807694,807694UK
13176,806414,806414UK
13177,807276,807276UK
13178,807907,807907UK
13179,806697,806697UK
13180,821155,7232280
13181,850134,850134
13182,803143,803143UK
13183,95003,95003
13184,806683,806683UK
13185,800698,800698UK
13186,127776,127776
13187,803191,803191UK
13188,802582,802582UK
13189,801058,66S6912-1
13190,822190,7250395
13191,179439,T17
13192,807994,807994UK
13193,179440,T18
13194,822233,481740
13195,127798,127798
13196,800737,800737UK
13197,810284,810284
13198,805661,805661UK
13199,296709,296709
13200,807245,807245UK
13201,805967,805967UK
13202,800508,800508UK
13203,802912,802912UK
13204,295359,295359
13205,281867,281867
13206,806032,806032UK
13207,807128,807128UK
13208,298673,298673
13209,245325,245325
13210,804052,804052UK
13211,890193,890193
13212,804635,804635UK
13213,821767,821767
13214,812718,191498
13215,807928,807928UK
13216,802736,802736UK
13217,808013,808013UK
13218,244415,244415
13219,803802,803802
13220,875054,875054
13221,803873,803873UK
13222,807971,807971UK
13223,179254,179254
13224,296538,296538
13225,808049,808049UK
13226,807677,807677UK
13227,179252,179252
13228,807205,807205UK
13229,800691,800691UK
13230,809058,260226-1
13231,805658,805658UK
13232,807610,807610UK
13233,820557,820557
13234,802844,802844UK
13235,803237,803237UK
13236,808000,808000UK
13237,810763,GT120
13238,806086,806086UK
13239,803320,803320UK
13240,820949,7232276
13241,295352,295352
13242,803140,803140UK
13243,299333,299333
13244,802460,802460UK
13245,808309,808309UK
13246,147807,147807
13247,800293,800293UK
13248,298622,298622
13249,298628,298628
13250,807179,807179UK
13251,805704,805704UK
13252,296767,296767
13253,802015,802015UK
13254,808283,808283UK
13255,214019,214019
13256,805601,805601UK
13257,806660,806660UK
13258,244397,
13259,214054,214054
13260,298706,298706
13261,808350,808350UK
13262,801982,801982UK
13263,803875,803875UK
13264,296710,296710
13265,802079,17A4036-1
13266,807479,807479UK
13267,T669,T669
13268,298720,298720
13269,803580,803580UK
13270,296755,296755
13271,295716,295716
13272,807995,807995UK
13273,803568,803568UK
13274,295555,295555
13275,808051,808051UK
13276,805772,805772UK
13277,807538,807538UK
13278,898782,898782
13279,820849,192233
13280,802116,802116UK
13281,147823,147823
13282,810596,810596
13283,804297,804297UK
13284,821248,821248
13285,808027,808027UK
13286,802210,802210UK
13287,225917,225917
13288,298595,298595
13289,803144,803144UK
13290,803438,803438UK
13291,245204,964121
13292,808071,808071
13293,805659,805659UK
13294,802146,802146UK
13295,217755,217755
13296,808481,260381
13297,850059,850059
13298,807499,807499UK
13299,147731,147731
13300,804660,804660UK
13301,214434,214434
13302,214314,214314
13303,179558,T14
13304,803948,803948UK
13305,807046,807046UK
13306,804314,804314UK
13307,900045,200607
13308,802751,802751UK
13309,806780,806780UK
13310,803590,803590UK
13311,810188,481699
13312,806787,806787UK
13313,840344,191618
13314,802282,802282UK
13315,801678,801678UK
13316,298805,298805
13317,808163,808163UK
13318,812959,812959
13319,T672,T672
13320,803828,803828UK
13321,803403,803403UK
13322,806712,806712UK
13323,822010,557061
13324,803391,803391UK
13325,298674,298674
13326,806695,806695UK
13327,127630,127630
13328,810559,810559
13329,810272,T6FA05
13330,900230,T936
13331,803829,803829UK
13332,801690,801690UK
13333,T673,T673
13334,809249,809249
13335,281938,281938
13336,299097,299097
13337,298672,298672
13338,214081,214081
13339,807306,807306UK
13340,805770,805770UK
13341,298832,298832
13342,803225,803225UK
13343,807494,807494UK
13344,803588,803588UK
13345,803895,803895UK
13346,298623,298623
13347,803109,803109UK
13348,803221,803221UK
13349,802461,802461UK
13350,299334,299334
13351,800510,800510UK
13352,EGG0018,572330
13353,800034,800034UK
13354,800111,800111UK
13355,282324,282324
13356,803709,803709UK
13357,299372,299372
13358,803589,803589UK
13359,T081,GT081
13360,850055,850055
13361,EGG0238,X140580
13362,803807,803807UK
13363,804280,804280UK
13364,296107,296107
13365,800030,800030UK
13366,226168,226168
13367,298698,298698
13368,295306,295306
13369,810252,810252
13370,807162,807162UK
13371,806401,806401UK
13372,804025,804025UK
13373,807965,807965UK
13374,298625,298625
13375,296515,296515
13376,802403,802403UK
13377,850075,850075
13378,THM0006,GT082
13379,296792,296792
13380,890106,890106
13381,802055,802055UK
13382,984001,T193
13383,179549,179549
13384,819814,GTG 38
13385,226326,226326
13386,179524,179524
13387,812656,812656
13388,804849,37A7713-1
13389,802542,802542UK
13390,810377,296914
13391,807058,807058UK
13392,820981,7232271
13393,850081,850081
13394,179372,179372
13395,850073,850073
13396,803916,803916UK
13397,803917,803917UK
13398,127726,127726
13399,800028,800028UK
13400,803561,803561UK
13401,812349,53749
13402,802031,802031UK
13403,295392,295392
13404,802877,802877UK
13405,801966,801966UK
13406,804584,804584UK
13407,808186,808186UK
13408,803788,803788
13409,804104,804104UK
13410,417127,417127
13411,821310,821310
13412,298923,298923
13413,808603,260282
13414,214095,214095
13415,890068,890068
13416,802544,802544UK
13417,808403,260166-2
13418,803238,803238UK
13419,810183,481553
13420,822188,7250390
13421,807029,807029UK
13422,807351,807351UK
13423,811847,811847UK
13424,803447,803447UK
13425,179287,179287
13426,806410,806410UK
13427,244855,244855
13428,807127,807127UK
13429,807996,807996UK
13430,298700,298700
13431,807926,807926UK
13432,807290,807290UK
13433,809248,809248
13434,802605,802605UK
13435,807905,807905UK
13436,812435,812435
13437,226195,961501
13438,800700,800700UK
13439,804861,804861UK
13440,T653,T653
13441,802339,17A1602-1
13442,807500,807500UK
13443,10854,10854
13444,803463,803463UK
13445,802069,802069UK
13446,820160,820160
13447,806779,806779UK
13448,T052,GT052
13449,803882,803882UK
13450,214331,214331
13451,801777,801777UK
13452,807286,807286UK
13453,97632,97632
13454,811849,811849UK
13455,G08915,G08915
13456,805662,805662UK
13457,127743,127743
13458,EGG0163,EGG0163
13459,806409,806409UK
13460,179518,179518
13461,295715,295715
13462,THM0022,THM0022
13463,850082,850082
13464,THM0025,XTHM0025
13465,803098,803098UK
13466,806030,806030UK
13467,802207,802207UK
13468,802407,802407UK
13469,97638,97638
13470,807523,807523UK
13471,282325,282325
13472,803496,803496UK
13473,808003,808003UK
13474,806837,806837UK
13475,804666,804666UK
13476,804281,804281UK
13477,808017,808017UK
13478,297211,297211
13479,807574,807574UK
13480,298249,298249
13481,802456,802456UK
13482,299056,299056
13483,810305,810305
