,E_Equipment Serial Number,E_OEM Nameplate SN
7654,282456,05463
7655,226280,226280
7656,226035,226035
7657,808841,G05993
7658,930186,05679
7659,244637,244637
7660,809818,05214
7661,296143,05658
7662,900321,900321
7663,801763,801763
7664,282485,282485
7665,806627,806627
7666,147716,147716
7667,809891,G06095
7668,244616,244616
7669,821350,821350
7670,179371,179371
7671,G06515,G06515
7672,803179,803179
7673,809188,809188
7674,805353,805353
7675,244997,244997
7676,214232,05084
7677,G06987,G06987
7678,807096,807096
7679,809533,05397
7680,822064,641313
7681,804593,804593
7682,809617,05526
7683,821432,G08416
7684,244994,244994
7685,809501,05378
7686,821761,481940
7687,809269,809269
7688,G06919,G06919
7689,821971,G08722
7690,G07650,G07650
7691,G08249,G08249
7692,808959,808959
7693,G06745,G06745
7694,821074,821074
7695,821551,G08436
7696,G08180,G08180
7697,802507,802507
7698,934663,540110
7699,G08263,G08263
7700,822335,G08857
7701,G07584,G07584
7702,G07747,G07747
7703,G08959,G08959
7704,G06968,G06968
7705,G08395,G08395
7706,809740,05171
7707,807086,807086
7708,800130,800130
7709,808619,260408
7710,821418,G08599
7711,800335,800335
7712,807584,807584
7713,850235,G08887
7714,806187,806187
7715,244785,244785
7716,808845,G05990
7717,226359,226359
7718,G07918,G07918
7719,244642,244642
7720,850085,G07769
7721,809424,05749
7722,930132,05191
7723,808711,481528
7724,809592,05885
7725,244925,244925
7726,147852,05010
7727,244981,244981
7728,G06906,G06906-OLD
7729,809103,G06016
7730,822600,676118
7731,805372,805372
7732,934671,282267
7733,809838,05219
7734,808980,05997
7735,934653,540450
7736,821346,G08516
7737,809626,05350
7738,805007,805007UK
7739,806963,806963
7740,820792,G08185
7741,G06377,G06377
7742,G06218,G06218
7743,G06644,G06644
7744,820982,G08235
7745,808894,481453
7746,G07934,G07934
7747,T207,T207
7748,809557,G06414
7749,812480,751112
7750,244484,244484
7751,935604,G08624
7752,G06845,G06845
7753,850050,6BA956
7754,226276,226276
7755,808516,260032-2
7756,805931,805931UK
7757,820110,G07825
7758,930165,05533
7759,179104,179104
