E_Equipment Serial Number;E_OEM Nameplate SN
GG679113;679113
GG679185;679185
GG679168;679168
GG679124;679124
GG679225;679225
GG679104;679104
GG751106;751106
GG691204;691204
GG691206;691206
GG691205;691205
GG751104;751104
GG751105;751105
GG691137;691137
GG691136;691136
GG691138;691138
GG691207;691207
GG691139;691139
GG481409;481409
GG481489;481489
GG481499;481499
GG481500;481500
GG642124;642124
GG481916;481916
GG481917;481917
GG635056;635056
GG481125;481125
GG635110;635110
GG691297;691297
GG691220;691220
GG691071;691071
GG481892;481892
GG691144;691144
GG481384;481384
GG691908;691908
GG691919;691919
GG691918;691918
GG691072;691072
GG641249;641249
GG641172;641172
GG641171;641171
GG671134;671134
GG671128;671128
GG671136;671136
GG642055;642055
GG679110;679110
GG679120;679120
GG679119;679119
GG679115;679115
GG641208;641208
GG641211;641211
GG641290;641290
GG641291;641291
GG641287;641287
GG641206;641206
GG641205;641205
GG641289;641289
GG417182;417182
GG417198;417198
GG641181;641181
GG641182;641182
GG481972;481972
GG691173;691173
GG691172;691172
GG691178;691178
GG671143;671143
GG676185;676185
GG676178;676178
GG676222;676222
GG676181;676181
GG676184;676184
GG676180;676180
GG676232;676232
GG676235;676235
GG676237;676237
GG676233;676233
GG676239;676239
GG676234;676234
GG676187;676187
GG676223;676223
GG676217;676217
GG676218;676218
GG676219;676219
GG676188;676188
GG691242;691242
GG691257;691257
GG481501;481501
GG481502;481502
GG691159;691159
GG691009;691009
GG481122;481122
GG481121;481121
GG679138;679138
GG679102;679102
GG641252;641252
GG641253;641253
GG641254;641254
GG481124;481124
GG691007;691007
GG691017;691017
GG680103;680103
GG680102;680102
GG680101;680101
GG671164;671164
GG751063;751063
GG676114;676114
GG676112;676112
GG676110;676110
GG481864;481864
GG481871;481871
GG481863;481863
GG481860;481860
GG677169;677169
GG677168;677168
GG677166;677166
GG641267;641267
GG641123;641123
GG641051;641051
GG641167;641167
GG481255;481255
GG679162;679162
GG679152;679152
GG679164;679164
GG691269;691269
GG679153;679153
GG691268;691268
GG676101;676101
GG642127;642127
GG642134;642134
GG671236;671236
GG671237;671237
GG691208;691208
GG691002;691002
GG481126;481126
GG481024;481024
GG679247;679247
GG679105;679105
GG679106;679106
GG557134;557134
GG557126;557126
GG557124;557124
GG557131;557131
GG691182;691182
GG691181;691181
GG691231;691231
GG678145;678145
GG678148;678148
GG678133;678133
GG678135;678135
GG678141;678141
GG678130;678130
GG678128;678128
GG678132;678132
GG678151;678151
GG678142;678142
GG678144;678144
GG678129;678129
GG481928;481928
GG481925;481925
GG671107;671107
GG671223;671223
GG671190;671190
GG671222;671222
GG671221;671221
GG671219;671219
GG751041;751041
GG751020;751020
GG481894;481894
GG751531;751531
GG641259;641259
GG641214;641214
GG641237;641237
GG481508;481508
GG481505;481505
GG481456;481456
GG481475;481475
GG691143;691143
GG691212;691212
GG691107;691107
GG691900;691900
GG691028;691028
GG751114;751114
GG751115;751115
GG420990;420990
GG635055;635055
GG635054;635054
GG192451;192451
GG671216;671216
GG671215;671215
GG671212;671212
GG671227;671227
GG557159;557159
GG691912;691912
GG680104;680104
GG635115;635115
GG691248;691248
GG691913;691913
GG680106;680106
GG636109;636109
GG557154;557154
GG635052;635052
GG679235;679235
GG635116;635116
GG680105;680105
GG557158;557158
GG557141;557141
GG672132;672132
GG635117;635117
GG671250;671250
GG671252;671252
GG671249;671249
GG636108;636108
GG751097;751097
GG691125;691125
GG691123;691123
GG691027;691027
GG679143;679143
GG679141;679141
GG671217;671217
GG671051;671051
GG671124;671124
GG671239;671239
GG481621;481621
GG481845;481845
GG481750;481750
GG481679;481679
GG691120;691120
GG691112;691112
GG671062;671062
GG671056;671056
GG636051;636051
GG636106;636106
GG677164;677164
GG677162;677162
GG677163;677163
GG677165;677165
GG677159;677159
GG677160;677160
GG691133;691133
GG751021;751021
GG751010;751010
GG641056;641056
GG641120;641120
GG641138;641138
GG641117;641117
GG641132;641132
GG641121;641121
GG641130;641130
GG641052;641052
GG641122;641122
GG641116;641116
GG671204;671204
GG481664;481664
GG481625;481625
GG691154;691154
GG636111;636111
GG474194;474194
GG474195;474195
GG197102;197102
GG197101;197101
GG691118;691118
GG671246;671246
GG691108;691108
GG691115;691115
GG691126;691126
GG677185;677185
GG677184;677184
GG677186;677186
GG552106;552106
GG671203;671203
GG552105;552105
GG552103;552103
GG552102;552102
GG552104;552104
GG671256;671256
GG691926;691926
GG481636;481636
GG481626;481626
GG481707;481707
GG751526;751526
GG191127;191127
GG191126;191126
GG672105;672105
GG642114;642114
GG642110;642110
GG671175;671175
GG672112;672112
GG481708;481708
GG481748;481748
GG671242;671242
GG671201;671201
GG642199;642199
GG671231;671231
GG642200;642200
GG671105;671105
GG671113;671113
GG557144;557144
GG671158;671158
GG672127;672127
GG671106;671106
GG671121;671121
GG671183;671183
GG671057;671057
GG671184;671184
GG671176;671176
GG691048;691048
GG671229;671229
GG671177;671177
GG559107;559107
GG559056;559056
GG641110;641110
GG642138;642138
GG642154;642154
GG642150;642150
GG642149;642149
GG474162;474162
GG474169;474169
GG474127;474127
GG481683;481683
GG557233;557233
GG671214;671214
GG671210;671210
GG671211;671211
GG481511;481511
GG552107;552107
GG481484;481484
GG671104;671104
GG671102;671102
GG481031;481031
GG481028;481028
GG481030;481030
GG481029;481029
GG679144;679144
GG679145;679145
GG679150;679150
GG679151;679151
GG671257;671257
GG691170;691170
GG691106;691106
GG672102;672102
GG691030;691030
GG691301;691301
GG671127;671127
GG671116;671116
GG672103;672103
GG691033;691033
GG671117;671117
GG671115;671115
GG671110;671110
GG677115;677115
GG192458;192458
GG192472;192472
GG192477;192477
GG192440;192440
GG616104;616104
GG192455;192455
GG616106;616106
GG192476;192476
GG677114;677114
GG192471;192471
GG192473;192473
GG192456;192456
GG616105;616105
GG192442;192442
GG616103;616103
GG192449;192449
GG676167;676167
GG676175;676175
GG676162;676162
GG676168;676168
GG481391;481391
GG481879;481879
GG676203;676203
GG676204;676204
GG676205;676205
GG676108;676108
GG676107;676107
GG676171;676171
GG676106;676106
GG481983;481983
GG481987;481987
GG481989;481989
GG642205;642205
GG642207;642207
GG642198;642198
GG642208;642208
GG642206;642206
GG676240;676240
GG676221;676221
GG676213;676213
GG676214;676214
GG678051;678051
GG751078;751078
GG691059;691059
GG671149;671149
GG671151;671151
GG481738;481738
GG481726;481726
GG481778;481778
GG671165;671165
GG678160;678160
GG678161;678161
GG642129;642129
GG691076;691076
GG691075;691075
GG671142;671142
GG671171;671171
GG671148;671148
GG671156;671156
GG671170;671170
GG642146;642146
GG641342;641342
GG641341;641341
GG641337;641337
GG641184;641184
GG641284;641284
GG676164;676164
GG676173;676173
GG192498;192498
GG192497;192497
GG676172;676172
GG676166;676166
GG642278;642278
GG678110;678110
GG678107;678107
GG678105;678105
GG678119;678119
GG481820;481820
GG481796;481796
GG481819;481819
GG559113;559113
GG559110;559110
GG559106;559106
GG679223;679223
GG679245;679245
GG679221;679221
GG679222;679222
GG642273;642273
GG678155;678155
GG678156;678156
GG679202;679202
GG679183;679183
GG679184;679184
GG679112;679112
GG691223;691223
GG642216;642216
GG691909;691909
GG679108;679108
GG679109;679109
GG679114;679114
GG671241;671241
GG481025;481025
GG671188;671188
GG671191;671191
GG481026;481026
GG671186;671186
GG557292;557292
GG678127;678127
GG481975;481975
GG481984;481984
GG481979;481979
GG678194;678194
GG678193;678193
GG678190;678190
GG474174;474174
GG474188;474188
GG474104;474104
GG678163;678163
GG678165;678165
GG679199;679199
GG679211;679211
GG642292;642292
GG642291;642291
GG642290;642290
GG642287;642287
GG642286;642286
GG642262;642262
GG751044;751044
GG751033;751033
GG751007;751007
GG192207;192207
GG192167;192167
GG192189;192189
GG192317;192317
GG481900;481900
GG481714;481714
GG481887;481887
GG559140;559140
GG559145;559145
GG559141;559141
GG559143;559143
GG559144;559144
GG691225;691225
GG481920;481920
GG751508;751508
GG481919;481919
GG691215;691215
GG557146;557146
GG557152;557152
GG557145;557145
GG557148;557148
GG641158;641158
GG641150;641150
GG641202;641202
GG641152;641152
GG641223;641223
GG456797;456797
GG641169;641169
GG641168;641168
GG481723;481723
GG557168;557168
GG751521;751521
GG751034;751034
GG751086;751086
GG559121;559121
GG185195;185195
GG559105;559105
GG190217;190217
GG481021;481021
GG481646;481646
GG481647;481647
GG185115;185115
GG671101;671101
GG671118;671118
GG671162;671162
GG679121;679121
GG679228;679228
GG635114;635114
GG635104;635104
GG635105;635105
GG691282;691282
GG691281;691281
GG691283;691283
GG557269;557269
GG415212;415212
GG175171;175171
GG417413;417413
GG481495;481495
GG671209;671209
GG671226;671226
GG481680;481680
GG691163;691163
GG481542;481542
GG417184;417184
GG672122;672122
GG672118;672118
GG641058;641058
GG641218;641218
GG481831;481831
GG481868;481868
GG481827;481827
GG481825;481825
GG481828;481828
GG481464;481464
GG672110;672110
GG672050;672050
GG672109;672109
GG672117;672117
GG642260;642260
GG481686;481686
GG691184;691184
GG691149;691149
GG691186;691186
GG560102;560102
GG192496;192496
GG672137;672137
GG641316;641316
GG641261;641261
GG641215;641215
GG641112;641112
GG641057;641057
GG481476;481476
GG481795;481795
GG481808;481808
GG641201;641201
GG641200;641200
GG191692;191692
GG191645;191645
GG191690;191690
GG191694;191694
GG671276;671276
GG671275;671275
GG481455;481455
GG672115;672115
GG671232;671232
GG671234;671234
GG671233;671233
GG641190;641190
GG641188;641188
GG557195;557195
GG557202;557202
GG557241;557241
GG557245;557245
GG557253;557253
GG559162;559162
GG676238;676238
GG676231;676231
GG676230;676230
GG676229;676229
GG557306;557306
GG557305;557305
GG557303;557303
GG678198;678198
GG678197;678197
GG642261;642261
GG481826;481826
GG481991;481991
GG481835;481835
GG679355;679355
GG679346;679346
GG679340;679340
GG191709;191709
GG679390;679390
GG679384;679384
GG679388;679388
GG679389;679389
GG606105;606105
GG606104;606104
GG679387;679387
GG679386;679386
GG679385;679385
GG679391;679391
GG679378;679378
GG679377;679377
GG679375;679375
GG679392;679392
GG679376;679376
GG642288;642288
GG642289;642289
GG642293;642293
GG616116;616116
GG642294;642294
GG642266;642266
GG995116;995116
GG995118;995118
GG995111;995111
GG995112;995112
GG995115;995115
GG995114;995114
GG642220;642220
GG642219;642219
GG642218;642218
GG642284;642284
GG642283;642283
GG642280;642280
GG642059;642059
GG671285;671285
GG691928;691928
GG635122;635122
GG635120;635120
GG635123;635123
GG635124;635124
GG635118;635118
GG635121;635121
GG635125;635125
GG635119;635119
GG679139;679139
GG679137;679137
GG679140;679140
GG677103;677103
